GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,PDPFactory,0,44,0,0,0,10,0,3,0,3
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,XACMLAuthorizationDelegate,63,138,10,6,7,34,6,7,0,5
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,FedoraResourceFinderModule,81,7,8,0,19,3,8,3,4,3
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,FedoraPolicyFinderModule,79,164,9,11,18,45,9,10,0,9
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,TripleAttributeFinderModule,83,190,4,12,17,41,4,9,0,5
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,SparqlResourceAttributeFinderModule,11,24,0,0,2,6,2,6,2,6
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,PolicyUtil,37,111,7,11,12,33,8,7,1,5
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,URIConstants,3,28,0,0,1,9,1,1,1,1
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,FedoraEvaluationCtxBuilder,69,284,15,15,10,53,11,14,0,10
Fedora Repository XACML Authorization Module,org.fcrepo.auth.xacml,XACMLWorkspaceInitializer,69,219,15,13,11,60,13,9,1,7
